param_name,MethodSpeciation,SampleFraction,DataStream_group,CASNumber,group,subgroup,unit_default,unit_solid
Resistivity,No,No,Physical, ,physical,,Ω·m,
"Light, underwater incident",No,No,Physical, ,physical,,W/m²,
Delta oxygen-17/oxygen-16,Yes,No,Stable Isotopes, ,stable isotopes,,VSMOW,VSMOW
Delta oxygen-18/oxygen-16,Yes,No,Stable Isotopes, ,stable isotopes,,VSMOW,VSMOW
"Deuterium, delta",Yes,No,Stable Isotopes, ,stable isotopes,,VSMOW,VSMOW
Delta carbon-13/carbon-12,Yes,No,Stable Isotopes, ,stable isotopes,,VPDB,VPDB
Delta sulfur-34/sulfur-32,Yes,No,Stable Isotopes, ,stable isotopes,,V-CDT,V-CDT
Carbon-13/Carbon-12 ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Deuterium/Hydrogen ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Nitrogen-15/Nitrogen-14 ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Oxygen-18/Oxygen-16 ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
"Strontium-87/Strontium-86, ratio",No,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Sulfur-34/Sulfur-32 ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Uranium-234/Uranium-238 ratio,Yes,No,Radiochemical, ,radiochemical,,ratio,ratio
Anion/cation ratio,No,No,Physical, ,physical,,ratio,
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],No,No,Physical, ,physical,,ratio,
Spectral slope ratio,No,No,Physical, ,physical,,ratio,
Salinity,No,No,Physical, ,physical,,PSU,
Turbidity,No,No,Physical, ,physical,,NTU,
Oxidation reduction potential (ORP),No,No,Physical, ,physical,,mV,
"Water equivalent, snow",No,No,Physical,,physical,,mm,
"Grain size, coarse sand (>=630 to 2000 um)",No,No,Physical, ,physical,,mm,
Particle size,No,No,Physical, ,physical,,mm,
"Particle size, 30 mesh, (0.59 mm)",No,No,Physical, ,physical,,mm,
"Particle size, 50 mesh, (0.297 mm)",No,No,Physical, ,physical,,mm,
"Particle size, coarse sediment (>75 um)",No,No,Physical, ,physical,,mm,
"Particle size, fine sediment (<75 um)",No,No,Physical, ,physical,,mm,
"Particle size, Sieve No. 10, 9 mesh, (2.00mm)",No,No,Physical, ,physical,,mm,
"Particle size, Sieve No. 100, 100 mesh, (0.150mm)",No,No,Physical, ,physical,,mm,
