input_param,cas_number,ParamDesc,input_unit,parameter_id,conversion,unit_solid,result_type,matrix_state,sample_fraction,sample_fraction_AC,result_value_type,result_speciation_id,result_speciation_AC,NEW_param_needed,NEW_speciation_needed,NEW_fraction_needed,NEW_protocol_needed,FLAG_AC_params_edit,FLAG_review,FLAG_notes_combined,ignore,result_offset,mapping_status
+.053mm,"",Particles retained .053 mm sieve open. 270 mesh.,%,32,1,"",2,2,,,1,,,"","",,"",,TRUE,maybe change units in ac params? Should be percent; UNIT_REVIEW: EQWin unit '%' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
+.106mm,"","Particle retained by .106 mm open sieve, 140 mesh",%,1269,1,"",2,2,,,1,,,"Particle retained by .106 mm open sieve, 140 mesh","",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
+.150mm,"","Particle retained by .150 mm open sieve, 100 mesh.",%,29,1,"",2,2,,,1,,,"","",,"",,TRUE,maybe change units in ac params? Should be percent; UNIT_REVIEW: EQWin unit '%' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
+.250mm,"","Particle retained by .25 mm sieve opening, 60 mesh",%,1270,1,"",2,2,,,1,,,"Particle retained by .25 mm sieve opening, 60 mesh","",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
+.425mm,"","Particle retained by .425 mm sieve open, 40 mesh.",%,1271,1,"",2,2,,,1,,,"Particle retained by .425 mm sieve open, 40 mesh.","",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
+.841mm,"","Particle retained by .841 mm sieve open, 20 mesh.",%,1272,1,"",2,2,,,1,,,"Particle retained by .841 mm sieve open, 20 mesh.","",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
+2.00mm,"","Particle retained by 2.00 mm sieve open, 10 mesh.",%,28,1,"",2,2,,,1,,,"","",,"",,TRUE,maybe change units in ac params? Should be percent; UNIT_REVIEW: EQWin unit '%' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
+200mesh,"",Particles retained by 200 mesh screen.,%,31,1,"",2,2,,,1,,,"","",,"",,TRUE,maybe change units in ac params? Should be percent; UNIT_REVIEW: EQWin unit '%' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
1112TTCA,630-20-6,"1,1,1,2-Tetrachloroethane",µg/L,145,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
111TCA,71-55-6,"1,1,1-Trichloroethane",µg/L,146,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
1122TTCE,"","tetrachloroethylene (tetrachloroethene, 1,1,2,2-)",µg/L,607,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
112TC-122TF,76-13-1,"1,1,2-Trichloro-1,2,2-trifluoroethane",µg/L,363,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
112TCA,"","1,1,2-Trichloroethane",µg/L,148,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
11DCA,"","1,1-Dichloroethane",µg/L,149,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
11DCE,"","1,1-Dichloroethylene",µg/L,150,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
123TCBZ,"","1,2,3-trichlorobenzene",µg/L,156,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
124TCBZ,"","1,2,4-trichlorobenzene",µg/L,158,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
126-Trimethylphenanthrene,30436-55-6,"1,2,6-Trimethylphenanthrene",ng/L,160,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
12DCA,"","1,2-Dichloroethane",µg/L,162,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
12DCBZ,95-50-1,"1,2-Dichlorobenzene",µg/L,532,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
12DCPA,"","1,2-Dichloropropane",µg/L,165,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
12-Dimethylnaphthalene,573-98-8,"1,2-Dimethylnaphthalene",ng/L,166,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
135-Trimethylbenzene,"","Mesitylene or 1,3,5-trimethylbenzene",ng/L,170,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
13-Butadiene,106-99-0,"1,3-Butadiene",µg/L,1273,1,"",2,1,,,1,,,"1,3-Butadiene","",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
13DCBZ,"","1,3-Dichlorobenzene",µg/L,171,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
13DCPE,542-75-6,"1,3-Dichloropropene (cis & trans)",mg/L,668,1,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
13Dichloropropane,"","1,3-Dichloropropane",µg/L,667,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
