input_param,input_unit,parameter_id,conversion,result_type,sample_fraction,result_value_type,result_speciation_id,matrix_state
ALKALINITY TOTAL CACO3,MG/L,92,1,2,19,1,3,liquid
ALUMINUM DISSOLVED,µG/L,1046,0.001,2,5,1,,liquid
ALUMINUM EXTRACTABLE,µG/L,1046,0.001,2,6,1,,liquid
ALUMINUM EXTRACTABLE,MG/L,1046,1,2,6,1,,liquid
ALUMINUM TOTAL,µG/L,1046,0.001,2,19,1,,liquid
ALUMINUM TOTAL,MG/L,1046,1,2,19,1,,liquid
AMMONIA DISSOLVED,MG/L,1030,1,2,5,1,17,liquid
ANTIMONY DISSOLVED,µG/L,1047,0.001,2,5,1,,liquid
ANTIMONY EXTRACTABLE,µG/L,1047,0.001,2,6,1,,liquid
ANTIMONY TOTAL,µG/L,1047,0.001,2,19,1,,liquid
ARSENIC DISSOLVED,µG/L,1049,0.001,2,5,1,,liquid
ARSENIC DISSOLVED,MG/L,1049,1,2,5,1,,liquid
ARSENIC EXTRACTABLE,µG/L,1049,0.001,2,6,1,,liquid
ARSENIC TOTAL,µG/L,1049,0.001,2,19,1,,liquid
ARSENIC TOTAL,MG/L,1049,1,2,19,1,,liquid
BARIUM DISSOLVED,µG/L,1052,0.001,2,5,1,,liquid
BARIUM DISSOLVED,MG/L,1052,1,2,5,1,,liquid
BARIUM EXTRACTABLE,µG/L,1052,0.001,2,6,1,,liquid
BARIUM EXTRACTABLE,MG/L,1052,1,2,6,1,,liquid
BARIUM TOTAL,µG/L,1052,0.001,2,19,1,,liquid
BARIUM TOTAL,MG/L,1052,1,2,19,1,,liquid
BERYLLIUM DISSOLVED,µG/L,1053,0.001,2,5,1,,liquid
BERYLLIUM EXTRACTABLE,µG/L,1053,0.001,2,6,1,,liquid
BERYLLIUM EXTRACTABLE,MG/L,1053,1,2,6,1,,liquid
BERYLLIUM TOTAL,µG/L,1053,0.001,2,19,1,,liquid
BISMUTH DISSOLVED,µG/L,1055,0.001,2,5,1,,liquid
